date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:01	213/213	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jun%202023%2013:26:57%20GMT	https://rtptoga.store/robots.txt		(from )
20:27:01	203113/203113	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2019:53:36%20GMT	https://rtptoga.store/	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/index.html	(from )
20:27:02	24203/24203	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ce7e23b1a5cf89ecf9e795e0ccb61b4%22	https://static.zdassets.com/ekr/snippet.js?key=66216df5-bb70-4cee-bf29-8e2a6a4fdd4b	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/static.zdassets.com/ekr/snippetb4d9.js	(from https://rtptoga.store/)
20:27:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Jun%202023%2013:26:59%20GMT	https://imgur.com/AWBtZwI.png	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/imgur.com/AWBtZwI.1.delayed	(from https://rtptoga.store/)
20:27:04	160302/160302	---M-Z	200	added ('OK')	text/css	etag:%222722e-5b9c5bf232280-gzip%22	https://rtptoga.store/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://rtptoga.store/)
20:27:04	59150/59150	---M--	200	added ('OK')	image/png	etag:%22f0cbc02dd0922cf513cd7b24e25ab0ad%22	https://i.imgur.com/AWBtZwI.png	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/i.imgur.com/AWBtZwI.png	(from https://rtptoga.store/)
20:27:04	93435/93435	---M-Z	200	added ('OK')	application/javascript	etag:%2216cfb-59ffd26336d00-gzip%22	https://rtptoga.store/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from https://rtptoga.store/)
20:27:04	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%2215d84-5a521ce961780-gzip%22	https://rtptoga.store/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://rtptoga.store/)
20:27:04	60044/60044	---M-Z	200	added ('OK')	application/javascript	etag:%22ea8c-5b9c5bf232280-gzip%22	https://rtptoga.store/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://rtptoga.store/)
20:27:04	17508/17508	---M-Z	200	added ('OK')	text/css	etag:%224464-5dd6398e1f800-gzip%22	https://rtptoga.store/assets/css/dibet.css	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/assets/css/dibet.css	(from https://rtptoga.store/)
20:27:05	85201/85201	---MCZ	200	added ('OK')	text/css	etag:W/%2214cd1-5d16bfa06aa80%22	https://rtptoga.store/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://rtptoga.store/)
20:27:06	203113/203113	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2019:53:36%20GMT	https://rtptoga.store/index.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/index-2.html	(from https://rtptoga.store/)
20:27:06	3283/3283	---M--	200	added ('OK')	image/png	etag:%22cd3-5e4256daaa935%22	https://rtptoga.store/assets/img/Toa.png	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/assets/img/Toa.png	(from https://rtptoga.store/)
20:27:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Jun%202023%2013:27:03%20GMT	https://imgur.com/zd3YRlP.jpg	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/imgur.com/zd3YRlP.b.delayed	(from https://rtptoga.store/)
20:27:08	260/260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jun%202023%2013:27:04%20GMT	https://rtptoga.store/%2012/index.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/%2012/index.html	(from https://rtptoga.store/)
20:27:09	12337/12337	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2000:26:04%20GMT	https://rtptoga.store/home.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/home.html	(from https://rtptoga.store/)
20:27:09	203623/203623	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2000:39:18%20GMT	https://rtptoga.store/Pragmatic.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/Pragmatic.html	(from https://rtptoga.store/)
20:27:09	485952/485952	---M--	200	added ('OK')	image/jpeg	etag:%22f6f03fdd9bced28c801da5922417ef1c%22	https://i.imgur.com/zd3YRlP.jpg	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/i.imgur.com/zd3YRlP.jpg	(from https://rtptoga.store/)
20:27:10	93096/93096	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2000:45:08%20GMT	https://rtptoga.store/PocketGamesSoft.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/PocketGamesSoft.html	(from https://rtptoga.store/)
20:27:10	191832/191832	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2000:49:16%20GMT	https://rtptoga.store/Habanero.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/Habanero.html	(from https://rtptoga.store/)
20:27:11	326226/326226	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2000:56:48%20GMT	https://rtptoga.store/MicroGaming.html	C:/Users/Bdc%20Computer/Desktop/rtp%20toga/rtptoga.store/MicroGaming.html	(from https://rtptoga.store/)
